Subject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_C,NEOFAC_A
220721,34.0,31.0,41.0,36.0,28.0
223929,1.0,38.0,24.0,26.0,23.0
227432,13.0,30.0,32.0,39.0,39.0
227533,6.0,40.0,29.0,43.0,41.0
228434,14.0,29.0,22.0,34.0,35.0
231928,25.0,26.0,27.0,22.0,29.0
233326,19.0,34.0,22.0,40.0,33.0
236130,20.0,26.0,24.0,45.0,32.0
237334,18.0,25.0,38.0,32.0,33.0
238033,24.0,23.0,40.0,23.0,30.0
239136,15.0,34.0,36.0,44.0,40.0
248339,19.0,14.0,28.0,31.0,24.0
250932,22.0,22.0,16.0,33.0,29.0
255740,34.0,29.0,24.0,37.0,35.0
256540,9.0,38.0,29.0,41.0,43.0
257542,6.0,38.0,29.0,46.0,43.0
257845,9.0,41.0,32.0,41.0,42.0
257946,20.0,31.0,28.0,38.0,29.0
263436,25.0,36.0,28.0,21.0,39.0
268749,2.0,37.0,28.0,39.0,17.0
268850,18.0,31.0,27.0,40.0,33.0
270332,8.0,35.0,34.0,35.0,32.0
274542,25.0,37.0,32.0,38.0,31.0
275645,26.0,24.0,24.0,44.0,23.0
280739,17.0,26.0,25.0,38.0,34.0
280941,19.0,23.0,32.0,36.0,33.0
281135,11.0,30.0,21.0,39.0,35.0
283543,20.0,22.0,26.0,36.0,28.0
285345,7.0,26.0,22.0,31.0,40.0
285446,10.0,39.0,19.0,38.0,37.0
286347,27.0,28.0,35.0,25.0,45.0
286650,24.0,28.0,22.0,34.0,30.0
287248,10.0,37.0,28.0,31.0,36.0
289555,16.0,32.0,23.0,37.0,33.0
290136,22.0,29.0,37.0,33.0,33.0
295146,16.0,42.0,20.0,45.0,41.0
297655,17.0,37.0,25.0,39.0,45.0
298455,18.0,27.0,28.0,35.0,26.0
299154,9.0,37.0,22.0,35.0,34.0
299760,19.0,30.0,38.0,25.0,34.0
300618,7.0,32.0,42.0,32.0,31.0
300719,14.0,26.0,31.0,34.0,32.0
303119,14.0,32.0,28.0,33.0,27.0
303624,3.0,42.0,35.0,44.0,38.0
304727,5.0,33.0,24.0,40.0,43.0
305830,16.0,19.0,28.0,30.0,28.0
308129,15.0,28.0,26.0,27.0,35.0
308331,3.0,44.0,21.0,43.0,35.0
309636,25.0,36.0,24.0,45.0,40.0
310621,8.0,34.0,37.0,39.0,33.0
311320,20.0,36.0,27.0,35.0,22.0
314225,19.0,32.0,28.0,30.0,28.0
316633,21.0,34.0,41.0,44.0,37.0
316835,18.0,34.0,26.0,35.0,25.0
318637,10.0,28.0,25.0,33.0,32.0
320826,15.0,39.0,24.0,27.0,38.0
321323,10.0,43.0,29.0,34.0,37.0
322224,20.0,34.0,27.0,42.0,40.0
325129,24.0,29.0,31.0,33.0,38.0
329844,13.0,36.0,26.0,39.0,33.0
330324,4.0,34.0,31.0,35.0,29.0
333330,16.0,29.0,19.0,41.0,36.0
334635,22.0,28.0,21.0,37.0,30.0
336841,12.0,33.0,33.0,24.0,20.0
339847,16.0,33.0,34.0,36.0,34.0
341834,23.0,39.0,28.0,28.0,33.0
342129,9.0,42.0,30.0,37.0,39.0
346137,14.0,44.0,32.0,43.0,42.0
346945,24.0,34.0,37.0,25.0,44.0
348545,27.0,37.0,39.0,32.0,18.0
349244,14.0,23.0,26.0,40.0,29.0
350330,8.0,32.0,32.0,32.0,37.0
352132,11.0,33.0,20.0,42.0,33.0
352738,13.0,43.0,31.0,38.0,44.0
353740,3.0,36.0,30.0,32.0,27.0
356948,4.0,37.0,17.0,45.0,30.0
358144,19.0,33.0,26.0,34.0,32.0
360030,20.0,26.0,22.0,35.0,37.0
361234,9.0,37.0,36.0,38.0,41.0
361941,40.0,20.0,31.0,35.0,40.0
365343,14.0,31.0,23.0,43.0,43.0
366042,19.0,33.0,30.0,35.0,42.0
368551,7.0,35.0,34.0,39.0,26.0
368753,10.0,19.0,21.0,43.0,36.0
376247,24.0,32.0,24.0,38.0,36.0
377451,33.0,24.0,33.0,28.0,34.0
378756,25.0,30.0,36.0,29.0,36.0
378857,15.0,28.0,31.0,25.0,38.0
379657,33.0,19.0,32.0,34.0,25.0
380036,10.0,30.0,22.0,32.0,37.0
381038,31.0,27.0,25.0,22.0,33.0
381543,10.0,36.0,34.0,44.0,27.0
382242,3.0,28.0,30.0,38.0,36.0
385046,14.0,28.0,30.0,37.0,32.0
385450,9.0,21.0,26.0,35.0,33.0
386250,36.0,19.0,39.0,24.0,35.0
387959,8.0,36.0,30.0,38.0,43.0
389357,12.0,30.0,38.0,28.0,30.0
391748,12.0,35.0,32.0,41.0,42.0
392447,11.0,36.0,25.0,38.0,32.0
392750,20.0,22.0,27.0,27.0,34.0
393247,13.0,39.0,29.0,35.0,35.0
393550,17.0,37.0,38.0,32.0,29.0
394956,15.0,37.0,29.0,38.0,38.0
395251,13.0,23.0,39.0,30.0,37.0
395756,13.0,30.0,29.0,40.0,30.0
395958,17.0,35.0,20.0,37.0,32.0
397154,19.0,24.0,38.0,28.0,36.0
397861,22.0,22.0,21.0,23.0,25.0
401422,12.0,38.0,29.0,33.0,42.0
406432,3.0,34.0,15.0,48.0,45.0
406836,20.0,33.0,22.0,34.0,35.0
412528,12.0,37.0,23.0,37.0,40.0
413934,28.0,22.0,35.0,34.0,28.0
415837,6.0,15.0,17.0,31.0,27.0
419239,21.0,26.0,26.0,41.0,33.0
421226,18.0,31.0,29.0,27.0,34.0
422632,11.0,38.0,32.0,42.0,42.0
424939,19.0,14.0,39.0,37.0,25.0
432332,12.0,41.0,27.0,39.0,39.0
433839,2.0,36.0,27.0,43.0,35.0
436239,22.0,34.0,21.0,36.0,36.0
436845,18.0,28.0,33.0,37.0,39.0
441939,25.0,38.0,13.0,36.0,21.0
445543,24.0,32.0,20.0,29.0,31.0
449753,32.0,27.0,41.0,35.0,28.0
453441,7.0,30.0,26.0,36.0,31.0
453542,28.0,29.0,25.0,20.0,27.0
454140,20.0,31.0,28.0,35.0,30.0
456346,22.0,39.0,23.0,18.0,42.0
459453,20.0,32.0,29.0,47.0,33.0
461743,10.0,33.0,25.0,37.0,25.0
463040,17.0,27.0,28.0,26.0,37.0
465852,26.0,25.0,19.0,35.0,32.0
467351,15.0,33.0,30.0,40.0,38.0
468050,13.0,36.0,34.0,32.0,47.0
469961,14.0,26.0,28.0,35.0,34.0
475855,2.0,39.0,31.0,35.0,34.0
479762,18.0,36.0,40.0,31.0,42.0
480141,25.0,30.0,27.0,31.0,26.0
481042,18.0,27.0,24.0,36.0,32.0
481951,24.0,40.0,31.0,25.0,33.0
486759,4.0,37.0,36.0,40.0,39.0
495255,24.0,23.0,22.0,25.0,30.0
497865,10.0,22.0,38.0,37.0,32.0
500222,19.0,38.0,28.0,42.0,37.0
506234,22.0,42.0,40.0,35.0,32.0
510225,26.0,25.0,45.0,32.0,39.0
510326,23.0,31.0,35.0,38.0,35.0
512835,27.0,18.0,26.0,22.0,23.0
513130,9.0,38.0,22.0,33.0,41.0
513736,19.0,32.0,28.0,36.0,39.0
516742,3.0,36.0,26.0,45.0,30.0
517239,26.0,27.0,33.0,33.0,28.0
518746,19.0,30.0,18.0,33.0,31.0
519647,15.0,20.0,20.0,40.0,22.0
519950,29.0,30.0,31.0,36.0,26.0
520228,11.0,35.0,19.0,40.0,42.0
522434,17.0,38.0,31.0,40.0,33.0
523032,20.0,36.0,27.0,42.0,39.0
524135,31.0,18.0,38.0,36.0,40.0
525541,19.0,28.0,29.0,36.0,35.0
529549,16.0,32.0,22.0,46.0,17.0
529953,9.0,30.0,23.0,36.0,38.0
531536,15.0,26.0,44.0,23.0,27.0
531940,29.0,36.0,44.0,31.0,39.0
536647,9.0,32.0,24.0,42.0,33.0
540436,12.0,31.0,33.0,39.0,42.0
541640,12.0,36.0,47.0,30.0,39.0
545345,14.0,31.0,36.0,37.0,26.0
547046,21.0,34.0,28.0,44.0,34.0
548250,21.0,28.0,25.0,28.0,31.0
552241,15.0,29.0,24.0,36.0,36.0
553344,20.0,31.0,27.0,36.0,35.0
555348,13.0,34.0,32.0,44.0,41.0
555651,23.0,29.0,32.0,34.0,38.0
555954,14.0,30.0,28.0,34.0,31.0
557857,31.0,32.0,31.0,28.0,34.0
558657,28.0,24.0,32.0,33.0,34.0
558960,25.0,33.0,30.0,31.0,41.0
559457,14.0,23.0,28.0,36.0,34.0
561444,10.0,31.0,34.0,37.0,28.0
561949,16.0,28.0,14.0,32.0,27.0
562345,19.0,24.0,25.0,36.0,27.0
562446,17.0,26.0,27.0,38.0,27.0
565452,18.0,32.0,27.0,38.0,31.0
566454,15.0,31.0,26.0,37.0,33.0
567052,13.0,30.0,39.0,33.0,32.0
567759,13.0,28.0,29.0,28.0,32.0
567961,34.0,35.0,35.0,27.0,35.0
